item_id,breed,source,image_path
american_bulldog_oxford_00,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_00.jpg
american_bulldog_oxford_01,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_01.jpg
american_bulldog_oxford_02,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_02.jpg
american_bulldog_oxford_03,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_03.jpg
american_bulldog_oxford_04,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_04.jpg
american_bulldog_oxford_05,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_05.jpg
american_bulldog_oxford_06,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_06.jpg
american_bulldog_oxford_07,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_07.jpg
american_bulldog_oxford_08,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_08.jpg
american_bulldog_oxford_09,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_09.jpg
american_bulldog_oxford_10,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_10.jpg
american_bulldog_oxford_11,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_11.jpg
american_bulldog_oxford_12,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_12.jpg
american_bulldog_oxford_13,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_13.jpg
american_bulldog_oxford_14,American Bulldog,oxford,data/oxford/dog/american_bulldog/american_bulldog_14.jpg
basset_hound_oxford_00,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_00.jpg
basset_hound_oxford_01,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_01.jpg
basset_hound_oxford_02,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_02.jpg
basset_hound_oxford_03,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_03.jpg
basset_hound_oxford_04,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_04.jpg
basset_hound_oxford_05,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_05.jpg
basset_hound_oxford_06,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_06.jpg
basset_hound_oxford_07,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_07.jpg
basset_hound_oxford_08,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_08.jpg
basset_hound_oxford_09,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_09.jpg
basset_hound_oxford_10,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_10.jpg
basset_hound_oxford_11,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_11.jpg
basset_hound_oxford_12,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_12.jpg
basset_hound_oxford_13,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_13.jpg
basset_hound_oxford_14,Basset Hound,oxford,data/oxford/dog/basset_hound/basset_hound_14.jpg
beagle_oxford_00,Beagle,oxford,data/oxford/dog/beagle/beagle_00.jpg
beagle_oxford_01,Beagle,oxford,data/oxford/dog/beagle/beagle_01.jpg
beagle_oxford_02,Beagle,oxford,data/oxford/dog/beagle/beagle_02.jpg
beagle_oxford_03,Beagle,oxford,data/oxford/dog/beagle/beagle_03.jpg
beagle_oxford_04,Beagle,oxford,data/oxford/dog/beagle/beagle_04.jpg
beagle_oxford_05,Beagle,oxford,data/oxford/dog/beagle/beagle_05.jpg
beagle_oxford_06,Beagle,oxford,data/oxford/dog/beagle/beagle_06.jpg
beagle_oxford_07,Beagle,oxford,data/oxford/dog/beagle/beagle_07.jpg
beagle_oxford_08,Beagle,oxford,data/oxford/dog/beagle/beagle_08.jpg
beagle_oxford_09,Beagle,oxford,data/oxford/dog/beagle/beagle_09.jpg
beagle_oxford_10,Beagle,oxford,data/oxford/dog/beagle/beagle_10.jpg
beagle_oxford_11,Beagle,oxford,data/oxford/dog/beagle/beagle_11.jpg
beagle_oxford_12,Beagle,oxford,data/oxford/dog/beagle/beagle_12.jpg
beagle_oxford_13,Beagle,oxford,data/oxford/dog/beagle/beagle_13.jpg
beagle_oxford_14,Beagle,oxford,data/oxford/dog/beagle/beagle_14.jpg
boxer_oxford_00,Boxer,oxford,data/oxford/dog/boxer/boxer_00.jpg
boxer_oxford_01,Boxer,oxford,data/oxford/dog/boxer/boxer_01.jpg
boxer_oxford_02,Boxer,oxford,data/oxford/dog/boxer/boxer_02.jpg
boxer_oxford_03,Boxer,oxford,data/oxford/dog/boxer/boxer_03.jpg
boxer_oxford_04,Boxer,oxford,data/oxford/dog/boxer/boxer_04.jpg
boxer_oxford_05,Boxer,oxford,data/oxford/dog/boxer/boxer_05.jpg
boxer_oxford_06,Boxer,oxford,data/oxford/dog/boxer/boxer_06.jpg
boxer_oxford_07,Boxer,oxford,data/oxford/dog/boxer/boxer_07.jpg
boxer_oxford_08,Boxer,oxford,data/oxford/dog/boxer/boxer_08.jpg
boxer_oxford_09,Boxer,oxford,data/oxford/dog/boxer/boxer_09.jpg
boxer_oxford_10,Boxer,oxford,data/oxford/dog/boxer/boxer_10.jpg
boxer_oxford_11,Boxer,oxford,data/oxford/dog/boxer/boxer_11.jpg
boxer_oxford_12,Boxer,oxford,data/oxford/dog/boxer/boxer_12.jpg
boxer_oxford_13,Boxer,oxford,data/oxford/dog/boxer/boxer_13.jpg
boxer_oxford_14,Boxer,oxford,data/oxford/dog/boxer/boxer_14.jpg
chihuahua_oxford_00,Chihuahua,oxford,data/oxford/dog/chihuahua/chihuahua_00.jpg
chihuahua_oxford_01,Chihuahua,oxford,data/oxford/dog/chihuahua/chihuahua_01.jpg
chihuahua_oxford_02,Chihuahua,oxford,data/oxford/dog/chihuahua/chihuahua_02.jpg
